zaman_unix,icao24,enlem,boylam,hiz,yon,dikey_hiz,geo_irtifa_m,baro_irtifa_m,zaman,ucus_numarasi,kalkis_havaalani,varis_havaalani,basinc_hpa,ti1_indeksi,edr_proxy
1547563684,a0044e,29.864639282226562,-95.69868234487677,96.4002718848941,333.02472352123846,8.128,571.5,480.06,2019-01-15 14:48:04+00:00,N10VZ,KIWS,7TX7,300.0,7.092375617282487e-07,0.787135340327125
1547563685,a0044e,29.87713623046875,-95.7155315692608,109.60072163929352,285.7976314844533,1.95072,601.9800000000001,518.1600000000001,2019-01-15 14:48:05+00:00,N10VZ,KIWS,7TX7,300.0,7.092375617282487e-07,0.787135340327125
1547563686,a0044e,29.878005981445312,-95.72319030761719,109.23670510631473,273.2397002961021,7.477760000000001,655.3199999999999,556.26,2019-01-15 14:48:06+00:00,N10VZ,KIWS,7TX7,300.0,7.092375617282487e-07,0.787135340327125
1547563687,a0044e,29.878157276218218,-95.72764677159927,108.11160304593723,272.18164140355145,9.42848,670.5600000000001,594.36,2019-01-15 14:48:07+00:00,N10VZ,KIWS,7TX7,300.0,7.092375617282487e-07,0.787135340327125
1547563688,a0044e,29.878157276218218,-95.72764677159927,108.11160304593723,272.18164140355145,9.42848,670.5600000000001,594.36,2019-01-15 14:48:08+00:00,N10VZ,KIWS,7TX7,300.0,7.092375617282487e-07,0.787135340327125
1547563689,a0044e,29.878157276218218,-95.72764677159927,108.11160304593723,272.18164140355145,9.42848,670.5600000000001,594.36,2019-01-15 14:48:09+00:00,N10VZ,KIWS,7TX7,300.0,7.092375617282487e-07,0.787135340327125
1547563690,a0044e,29.878157276218218,-95.72764677159927,108.11160304593723,272.18164140355145,9.42848,670.5600000000001,594.36,2019-01-15 14:48:10+00:00,N10VZ,KIWS,7TX7,300.0,7.092375617282487e-07,0.787135340327125
1547563691,a0044e,29.878157276218218,-95.72764677159927,108.11160304593723,272.18164140355145,9.42848,670.5600000000001,594.36,2019-01-15 14:48:11+00:00,N10VZ,KIWS,7TX7,300.0,7.092375617282487e-07,0.787135340327125
1547563692,a0044e,29.878157276218218,-95.72764677159927,108.11160304593723,272.18164140355145,9.42848,670.5600000000001,594.36,2019-01-15 14:48:12+00:00,N10VZ,KIWS,7TX7,300.0,7.092375617282487e-07,0.787135340327125
1547563693,a0044e,29.878157276218218,-95.72764677159927,108.11160304593723,272.18164140355145,9.42848,670.5600000000001,594.36,2019-01-15 14:48:13+00:00,N10VZ,KIWS,7TX7,300.0,7.092375617282487e-07,0.787135340327125
